TEAM,PLAYER,TYPE,PRICE(In crore Indian Rupees) ,YEAR
 Kolkata Knight Riders,Pat Cummins,All-Rounder,15.5,2020
 Kings XI Punjab,Glenn Maxwell,All-Rounder,10.75,2020
 Royal Challengers Bangalore,Christopher Morris,All-Rounder,10,2020
 Kings XI Punjab,Sheldon Cottrell,Bowler,8.5,2020
 Mumbai Indians,Nathan Coulter-Nile,Bowler,8,2020
 Delhi Capitals,Shimron Hetmyer,Batsman,7.75,2020
 Chennai Super Kings,Piyush Chawla,Bowler,6.75,2020
 Chennai Super Kings,Sam Curran,All-Rounder,5.5,2020
 Rajasthan Royals,Jaydev Unadkat,Bowler,8.4,2019
 Kings XI Punjab,Varun Chakaravarthy,All-Rounder,8.4,2019
 Kings XI Punjab,Sam Curran,All-Rounder,7.2,2019
 Delhi Capitals,Colin Ingram,Batsman,6.4,2019
 Kolkata Knight Riders,Carlos Brathwaite,All-Rounder,5,2019
 Delhi Capitals,Axar Rajesh Patel,All-Rounder,5,2019
 Chennai Super Kings,Mohit Sharma,Bowler,5,2019
 Royal Challengers Bangalore,Shivam Dube,All-Rounder,5,2019
 Rajasthan Royals,Benjamin Stokes,All-Rounder,12.5,2018
 Rajasthan Royals,Jaydev Unadkat,Bowler,11.5,2018
 Sunrisers Hyderabad,Manish Pandey,Batsman,11,2018
 Kings XI Punjab,KL Rahul,Batsman,11,2018
 Kolkata Knight Riders,Chris Lynn,Batsman,9.6,2018
 Kolkata Knight Riders,Mitchell Starc,Bowler,9.4,2018
 Delhi Daredevils,Glenn Maxwell,All-Rounder,9,2018
 Sunrisers Hyderabad,Rashid Khan Arman,Bowler,9,2018
 Rising Pune Supergiant,Benjamin Stokes,All-Rounder,14.5,2017
 Royal Challengers Bangalore,Tymal Mills,Bowler,12,2017
 Kolkata Knight Riders,Trent Boult,Bowler,5,2017
 Delhi Daredevils,Kagiso Rabada,Bowler,5,2017
 Delhi Daredevils,Patrick Cummins,Bowler,4.5,2017
 Kolkata Knight Riders,Chris Woakes,All-Rounder,4.2,2017
 Sunrisers Hyderabad,Rashid Khan Arman,Bowler,4,2017
 Kolkata Knight Riders,Nathan Coulter-Nile,Bowler,3.5,2017
 Royal Challengers Bangalore,Shane Watson,All-Rounder,9.5,2016
 Delhi Daredevils,Pawan Negi,All-Rounder,8.5,2016
 Delhi Daredevils,Christopher Morris,All-Rounder,7,2016
 Sunrisers Hyderabad,Yuvraj Singh,All-Rounder,7,2016
 Kings XI Punjab,Mohit Sharma,Bowler,6.5,2016
 Sunrisers Hyderabad,Ashish Nehra,Bowler,5.5,2016
 Rising Pune Supergiants,Mitchell Marsh,All-Rounder,4.8,2016
 Rising Pune Supergiants,M. Ashwin,Bowler,4.5,2016
 Delhi Daredevils,Yuvraj Singh,Batsman,16,2015
 Royal Challengers Bangalore,Dinesh Karthik,Wicket Keeper,10.5,2015
 Delhi Daredevils,Angelo Mathews,All-Rounder,7.5,2015
 Delhi Daredevils,Zaheer Khan,Bowler,4,2015
 Sunrisers Hyderabad,Trent Boult,Bowler,3.8,2015
 Delhi Daredevils,Amit Mishra,Bowler,3.5,2015
 Mumbai Indians,Aaron Finch,Batsman,3.2,2015
 Kings XI Punjab,Murali Vijay,Batsman,3,2015
 Royal Challengers Bangalore,Yuvraj Singh,All-Rounder,14,2014
 Delhi Daredevils,Dinesh Karthik,Wicket Keeper,12.5,2014
 Delhi Daredevils,Kevin Pietersen,Batsman,9,2014
 Kings XI Punjab,Mitchell Johnson,All-Rounder,6.5,2014
 Kings XI Punjab,Glenn Maxwell,All-Rounder,6,2014
 Kolkata Knight Riders,Jacques Kallis,All-Rounder,5.5,2014
 Sunrisers Hyderabad,David Warner,Batsman,5.5,2014
 Kolkata Knight Riders,Robin Uthappa,Batsman,5,2014
